last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,n_bolts,hp_to_1b,sprint_speed,
Santana, Carlos,2019,.271,.491,.372,.388,.221,91.8,11.8,29.1,45,9.6,5.8,23.1,25.1,35.5,0.9,44.9,63.6,15.4,17.7,35.5,64.5,93,262,53.1,1477,76.0,6.6,521,1547,712,2793,84.6,128,829,46.9,1303,42.6,1184,20.4,39.3,42.0,39.2,18.8,467,54.4,46.3,216,26.3,123,20.8,97,6.6,31,0,4.55,25.7,
Belt, Brandon,2019,.244,.465,.350,.351,.221,87.3,22.4,40.9,35,8.7,9.7,22.3,36.0,18.1,3.7,35.7,74.6,15.7,22.6,42.1,57.9,131,311,54.8,1376,87.6,6.4,373,1577,559,2514,84.3,133,845,45.2,1133,41.8,1049,22.9,46.0,40.4,34.2,25.3,403,58.3,30.0,121,33.5,135,27.0,109,9.4,38,0,4.68,24.8,
Brantley, Michael,2019,.301,.485,.365,.366,.184,88.9,10.7,36.8,28,5.5,6.8,27.7,21.4,32.6,3.7,37.3,60.8,5.4,26.0,23.9,76.1,70,293,49.5,1127,69.2,7.4,302,1447,526,2316,94.6,38,698,50.5,1148,44.0,1001,10.8,43.7,39.0,34.9,26.1,513,60.0,46.0,236,20.9,107,28.1,144,5.1,26,0,4.47,26.4,
Gurriel, Yuli,2019,.283,.421,.325,.332,.138,89.3,14.3,33.5,18,3.6,4.2,28.9,29.7,30.5,1.8,38.1,66.7,9.5,34.2,24.6,75.4,90,366,52.2,1070,74.8,6.4,247,1185,617,2085,90.5,62,653,47.8,979,41.4,849,14.8,49.7,41.0,36.8,22.2,505,64.9,38.6,195,21.4,108,27.3,138,12.7,64,0,4.32,27.6,
Rojas, Miguel,2019,.275,.379,.310,.326,.105,87.4,9.1,31.9,11,2.6,2.3,28.3,24.6,39.6,1.9,28.8,64.0,10.0,29.8,30.7,69.3,85,277,49.8,929,66.5,8.5,220,1140,506,1867,90.0,60,600,50.2,937,40.5,755,16.5,47.0,28.8,41.5,29.7,427,66.9,47.8,204,21.3,91,27.2,116,3.7,16,0,4.52,26.4,
Escobar, Eduardo,2019,.259,.473,.332,.315,.215,87.7,18.4,38.6,36,7.0,7.9,23.4,34.1,25.2,2.3,31.4,71.3,17.8,37.7,35.2,64.8,200,568,55.9,1505,75.6,6.4,423,1616,652,2691,82.2,151,846,44.1,1186,43.0,1158,24.8,52.5,41.1,38.6,20.3,516,61.5,32.9,170,33.5,173,27.1,140,6.4,33,0,4.25,27.6,
Davis, Khris,2019,.236,.446,.323,.311,.210,90.2,13,31.5,33,9.8,8.0,21.7,24.3,31.5,1.8,40.4,79.6,26.6,27.5,57.4,42.6,171,298,53.5,1085,93.8,6.4,258,1101,670,2066,73.4,200,751,46.5,944,43.4,880,34.9,51.8,37.1,38.6,24.3,337,58.0,42.4,143,28.5,96,23.7,80,5.3,18,0,4.84,25.6,
Pham, Tommy,2019,.282,.473,.366,.377,.191,90.9,5.2,29.7,35,7.9,4.9,24.0,16.6,42.7,3.6,45.0,61.6,12.7,16.4,47.0,53.0,103,219,51.4,1338,71.0,7.7,247,1545,810,2604,87.3,99,779,48.6,1264,41.7,1085,20.2,38.4,31.7,42.9,25.4,445,58.3,53.5,238,18.9,84,23.8,106,3.8,17,20,4.38,28.6,
Martinez, J.D.,2019,.306,.578,.402,.388,.272,91.3,12.4,40.7,52,11.8,7.5,29.2,19.7,28.1,2.3,47.9,72.5,16.4,29.8,48.3,51.7,188,389,53.9,1307,89.7,7.2,213,1431,779,2463,83.6,133,809,46.1,1116,44.0,1066,26.7,49.5,38.2,35.3,26.5,442,61.6,43.0,190,25.6,113,28.5,126,2.9,13,0,4.49,26.7,
Reddick, Josh,2019,.276,.400,.318,.325,.125,86.1,15.7,35.7,15,3.4,4.0,27.9,29.7,30.3,2.5,29.4,74.0,9.2,29.6,27.9,72.1,84,301,51.9,1017,78.7,6.5,320,1170,469,1993,90.7,64,697,48.1,942,41.6,814,14.7,51.0,36.2,38.2,25.6,445,60.2,40.4,180,23.1,103,27.0,120,9.4,42,1,4.31,26.7,
