last_name,first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,n_bolts,hp_to_1b,sprint_speed,OPS_Plus_Name,OPS_Plus,UBR_Name,UBR,wRC_Plus_Name,wRC_Plus
Kipnis, Jason,2018.0,0.242,0.40399999999999997,0.325,0.32899999999999996,0.163,86.9,17.8,34.4,28.0,6.6,5.0,25.1,32.5,24.2,2.8,31.6,61.0,13.7,25.7,37.1,62.9,118.0,318.0,51.9,1239.0,69.2,8.2,279.0,1481.0,619.0,2437.0,86.3,96.0,700.0,48.1,1147.0,43.2,1031.0,20.9,42.7,36.5,38.2,25.4,422.0,52.7,34.8,147.0,28.7,121.0,27.3,115.0,9.2,39.0,0.0,4.38,26.9,Jason Kipnis*\kipnija01,90.0, Kipnis,0.0, Kipnis,89.0
LeMahieu, DJ,2018.0,0.282,0.429,0.33299999999999996,0.32899999999999996,0.146,91.3,5.9,31.3,24.0,5.2,5.7,27.6,19.8,40.2,0.9,43.2,59.2,6.8,23.2,33.6,66.4,83.0,247.0,48.7,1063.0,64.1,7.7,166.0,1488.0,528.0,2191.0,93.2,45.0,662.0,51.3,1119.0,44.2,965.0,14.0,41.7,25.0,46.1,28.9,460.0,60.4,50.4,232.0,21.5,99.0,25.9,119.0,2.2,10.0,0.0,4.46,27.1,DJ LeMahieu\lemahdj01,88.0, LeMahieu,0.6, LeMahieu,87.0
Lindor, Francisco,2018.0,0.293,0.52,0.381,0.36700000000000005,0.228,90.6,14.7,34.3,52.0,9.3,8.4,21.1,26.3,31.1,2.1,41.0,67.4,11.8,29.7,27.8,72.2,130.0,467.0,54.6,1571.0,68.3,6.3,401.0,1688.0,782.0,2920.0,88.2,104.0,880.0,45.4,1305.0,43.7,1258.0,17.7,46.9,36.8,35.5,27.7,560.0,55.8,40.0,224.0,25.5,143.0,25.9,145.0,8.6,48.0,3.0,4.21,28.4,Francisco Lindor#\lindofr01,132.0, Lindor,-0.3, Lindor,130.0
Longoria, Evan,2018.0,0.254,0.433,0.315,0.293,0.179,88.5,13.4,32.6,29.0,7.6,6.0,24.5,27.1,32.6,2.1,37.2,67.0,15.5,29.0,32.8,67.2,89.0,271.0,48.5,935.0,74.6,7.0,210.0,1130.0,586.0,1932.0,84.5,103.0,664.0,51.5,991.0,44.8,863.0,20.6,48.6,38.3,35.4,26.3,384.0,62.5,42.7,164.0,25.5,98.0,23.7,91.0,8.1,31.0,0.0,4.46,26.9,Evan Longoria\longoev01,91.0, Longoria,0.0, Longoria,87.0
Lowrie, Jed,2018.0,0.252,0.424,0.337,0.341,0.172,89.2,17.4,38.0,25.0,5.3,9.6,25.1,32.7,25.5,1.3,37.9,70.4,15.4,21.3,36.2,63.8,106.0,293.0,50.3,1374.0,87.0,7.0,391.0,1736.0,594.0,2738.0,84.6,147.0,956.0,49.7,1357.0,45.0,1230.0,20.3,45.8,42.0,32.3,25.7,471.0,59.3,35.0,165.0,30.4,143.0,27.6,130.0,7.0,33.0,0.0,4.45,26.7,Jed Lowrie#\lowrije01,121.0, Lowrie,-1.5, Lowrie,123.0
Machado, Manny,2018.0,0.292,0.523,0.37799999999999995,0.365,0.231,91.6,14.4,33.8,60.0,11.3,7.7,21.6,27.8,29.8,1.9,48.2,72.3,14.0,28.6,40.0,60.0,156.0,390.0,53.9,1362.0,85.8,7.2,277.0,1546.0,698.0,2529.0,86.0,118.0,842.0,46.1,1165.0,42.1,1064.0,22.2,48.8,34.7,39.8,25.5,533.0,56.3,40.0,213.0,26.8,143.0,24.0,128.0,9.2,49.0,0.0,4.62,26.3,Manny Machado\machama01,145.0, Machado,1.4, Machado,140.0
Mancini, Trey,2018.0,0.257,0.445,0.336,0.316,0.188,89.9,5.2,27.6,51.0,11.8,4.8,22.8,14.3,43.3,2.8,42.9,67.8,21.0,31.5,41.8,58.3,167.0,400.0,50.5,1268.0,83.4,6.5,304.0,1387.0,806.0,2516.0,79.0,177.0,844.0,49.5,1244.0,44.4,1116.0,27.6,49.5,31.8,41.7,26.5,434.0,61.9,55.5,241.0,19.1,83.0,22.1,96.0,3.2,14.0,0.0,4.51,27.0,Trey Mancini\mancitr01,95.0, Mancini,2.7, Mancini,91.0
Margot, Manuel,2018.0,0.26,0.38299999999999995,0.305,0.309,0.12300000000000001,89.4,11.5,33.8,13.0,3.3,8.3,21.2,27.7,35.0,2.3,37.0,64.7,15.2,24.4,38.4,61.6,81.0,211.0,46.2,863.0,77.6,8.4,167.0,1182.0,516.0,1913.0,84.8,99.0,650.0,53.8,1005.0,41.4,774.0,21.3,45.9,34.0,42.8,23.2,397.0,62.0,43.6,173.0,20.2,80.0,26.4,105.0,9.8,39.0,35.0,4.19,29.4,Manuel Margot\margoma01,87.0, Margot,0.9, Margot,81.0
Markakis, Nick,2018.0,0.29600000000000004,0.434,0.35100000000000003,0.369,0.13699999999999998,90.6,10.0,38.4,17.0,3.1,6.0,32.4,23.2,34.1,1.1,41.6,60.6,7.4,20.0,23.7,76.3,66.0,278.0,49.7,1390.0,73.1,7.8,243.0,1736.0,802.0,2798.0,92.6,63.0,851.0,50.3,1405.0,41.9,1172.0,11.4,40.4,29.5,41.5,29.0,552.0,56.9,44.0,243.0,19.6,108.0,31.3,173.0,5.1,28.0,0.0,4.4,26.4,Nick Markakis*\markani01,116.0, Markakis,-1.4, Markakis,115.0
Marte, Ketel,2018.0,0.263,0.402,0.327,0.336,0.14,88.8,5.8,28.8,22.0,5.0,5.4,23.6,20.5,41.4,2.9,36.9,68.5,11.3,23.7,29.4,70.6,78.0,265.0,51.5,1120.0,76.2,6.6,405.0,1263.0,504.0,2177.0,88.7,82.0,723.0,48.5,1055.0,42.9,932.0,16.2,45.5,36.0,40.1,23.9,444.0,58.4,52.0,231.0,19.4,86.0,22.7,101.0,5.9,26.0,12.0,4.23,28.7,Ketel Marte#\marteke01,102.0, Marte,-1.0, Marte,106.0
